Bait_Prey	Bait	Preys	PreyGene	SaintScore	BFDR	AvgSpec	MIST
nsp16-O75382	nsp16	O75382	TRIM3	1	0	6.67	0.939078269
nsp16-O75564	nsp16	O75564	JRK	0.98	0	3	0.708146128
nsp16-O75665	nsp16	O75665	OFD1	1	0	10.67	0.993704543
nsp16-O95714	nsp16	O95714	HERC2	1	0	9.33	0.872117541
nsp16-O95754	nsp16	O95754	SEMA4F	1	0	5	0.990804706
nsp16-P28838	nsp16	P28838	LAP3	1	0	138.33	0.93521568
nsp16-P51530	nsp16	P51530	DNA2	1	0	20.67	0.93085338
nsp16-Q05086	nsp16	Q05086	UBE3A	1	0	20.33	0.993205727
nsp16-Q12923	nsp16	Q12923	PTPN13	1	0	20.33	0.82472846
nsp16-Q13043	nsp16	Q13043	STK4	1	0	11	0.936895908
nsp16-Q13049	nsp16	Q13049	TRIM32	1	0	9.33	0.988853916
nsp16-Q13188	nsp16	Q13188	STK3	1	0	15	0.816118789
nsp16-Q15345	nsp16	Q15345	LRRC41	0.97	0.01	2.33	0.988401417
nsp16-Q53EZ4	nsp16	Q53EZ4	CEP55	1	0	25.33	0.712072426
nsp16-Q567U6	nsp16	Q567U6	CCDC93	1	0	17	0.99302779
nsp16-Q5SVZ6	nsp16	Q5SVZ6	ZMYM1	1	0	76.67	0.994026056
nsp16-Q5SZL2	nsp16	Q5SZL2	CEP85L	1	0	40.67	0.993496095
nsp16-Q5VUJ6	nsp16	Q5VUJ6	LRCH2	1	0	24.33	0.962503191
nsp16-Q63ZY3	nsp16	Q63ZY3	KANK2	1	0	11.33	0.991823966
nsp16-Q6GYQ0	nsp16	Q6GYQ0	RALGAPA1	0.98	0	3.67	0.977416641
nsp16-Q6IEG0	nsp16	Q6IEG0	SNRNP48	0.99	0	3.33	0.787090668
nsp16-Q6ZU80	nsp16	Q6ZU80	CEP128	1	0	6	0.893091909
nsp16-Q6ZWJ1	nsp16	Q6ZWJ1	STXBP4	0.98	0	3	0.985046716
nsp16-Q70EL1	nsp16	Q70EL1	USP54	1	0	11.67	0.718980196
nsp16-Q7Z3J2	nsp16	Q7Z3J2	VPS35L	0.99	0	3.33	0.99120106
nsp16-Q7Z4G1	nsp16	Q7Z4G1	COMMD6	0.95	0.01	2	0.993976899
nsp16-Q86SQ0	nsp16	Q86SQ0	PHLDB2	1	0	8.67	0.831826435
nsp16-Q86W92	nsp16	Q86W92	PPFIBP1	1	0	22.33	0.968360808
nsp16-Q86X10	nsp16	Q86X10	RALGAPB	1	0	5	0.983214673
nsp16-Q8IUD2	nsp16	Q8IUD2	ERC1	1	0	208.33	0.921350502
nsp16-Q8N668	nsp16	Q8N668	COMMD1	0.66	0.05	2.67	0.961313726
nsp16-Q8TEM1	nsp16	Q8TEM1	NUP210	1	0	60.67	0.850755735
nsp16-Q96HP0	nsp16	Q96HP0	DOCK6	1	0	7.67	0.990342796
nsp16-Q96II8	nsp16	Q96II8	LRCH3	1	0	29	0.93763489
nsp16-Q9BVQ7	nsp16	Q9BVQ7	SPATA5L1	1	0	4.33	0.98126167
nsp16-Q9GZQ3	nsp16	Q9GZQ3	COMMD5	1	0	4.33	0.992994501
nsp16-Q9H000	nsp16	Q9H000	MKRN2	1	0	9.67	0.71582382
nsp16-Q9H0H0	nsp16	Q9H0H0	INTS2	1	0	18.67	0.938340768
nsp16-Q9H4B6	nsp16	Q9H4B6	SAV1	1	0	23.33	0.869610136
nsp16-Q9NVH2	nsp16	Q9NVH2	INTS7	1	0	17.67	0.92002501
nsp16-Q9NX08	nsp16	Q9NX08	COMMD8	0.89	0.01	2.67	0.936985686
nsp16-Q9P000	nsp16	Q9P000	COMMD9	0.99	0	3.67	0.983665198
nsp16-Q9P2D0	nsp16	Q9P2D0	IBTK	1	0	18	0.774163503
nsp16-Q9P2S5	nsp16	Q9P2S5	WRAP73	1	0	5.33	0.98754455
nsp16-Q9UBI1	nsp16	Q9UBI1	COMMD3	1	0	4	0.989352281
nsp16-Q9UHD2	nsp16	Q9UHD2	TBK1	1	0	11.33	0.730696528
nsp16-Q9UHP3	nsp16	Q9UHP3	USP25	1	0	10	0.980380642
nsp16-Q9UKF6	nsp16	Q9UKF6	CPSF3	1	0	19.67	0.731969888
nsp16-Q9UN81	nsp16	Q9UN81	L1RE1	0.97	0.01	2.67	0.871349588
nsp16-Q9Y2D8	nsp16	Q9Y2D8	SSX2IP	1	0	26.33	0.944408372
nsp16-Q9Y2K2	nsp16	Q9Y2K2	SIK3	1	0	6.33	0.977256516
nsp16-Q9Y6G5	nsp16	Q9Y6G5	COMMD10	1	0	5.33	0.992408318
nsp16-A7MCY6	nsp16	A7MCY6	TBKBP1	1	0	8.67	0.694886317
nsp16-Q96LT9	nsp16	Q96LT9	RNPC3	1	0	4.67	0.617124051
nsp2-O14975	nsp2	O14975	SLC27A2	0.99	0	4.67	0.915803486
nsp2-O60573	nsp2	O60573	EIF4E2	1	0	10.33	0.806833749
nsp2-P16435	nsp2	P16435	POR	1	0	3.33	0.710961769
nsp2-P52306	nsp2	P52306	RAP1GDS1	1	0	12	0.991635744
nsp2-Q2M389	nsp2	Q2M389	WASHC4	0.99	0	3.67	0.972115182
nsp2-Q5T1M5	nsp2	Q5T1M5	FKBP15	1	0	19.67	0.988056696
nsp2-Q6Y7W6	nsp2	Q6Y7W6	GIGYF2	1	0	40.33	0.767224555
nsp4-P14735	nsp4	P14735	IDE	1	0	11.33	0.918031442
nsp4-P62072	nsp4	P62072	TIMM10	1	0	5.33	0.961471982
nsp4-Q2TAA5	nsp4	Q2TAA5	ALG11	1	0	7	0.72745605
nsp4-Q8TEM1	nsp4	Q8TEM1	NUP210	1	0	6.33	0.710174697
nsp4-Q9BSF4	nsp4	Q9BSF4	TIMM29	1	0	7.67	0.986980311
nsp4-Q9NVH1	nsp4	Q9NVH1	DNAJC11	1	0	11.33	0.726866873
nsp4-Q9Y5J6	nsp4	Q9Y5J6	TIMM10B	0.98	0	3	0.985104055
nsp4-Q9Y5J7	nsp4	Q9Y5J7	TIMM9	1	0	4	0.913806284
nsp5-Q92769	nsp5	Q92769	HDAC2	0.96	0.01	2	0.993708403
nsp5_C145A-P07203	nsp5_C145A	P07203	GPX1	1	0	15.67	0.97684084
nsp5_C145A-Q9NXH9	nsp5_C145A	Q9NXH9	TRMT1	1	0	7.67	0.984315505
nsp6-O75964	nsp6	O75964	ATP5MG	1	0	6.67	0.717265558
nsp6-Q15904	nsp6	Q15904	ATP6AP1	1	0	5	0.989106922
nsp6-Q99720	nsp6	Q99720	SIGMAR1	1	0	5	0.842213253
nsp6-Q9H7F0	nsp6	Q9H7F0	ATP13A3	1	0	5.67	0.805525853
nsp7-O00116	nsp7	O00116	AGPS	1	0	7.67	0.826490325
nsp7-O43169	nsp7	O43169	CYB5B	0.99	0	3.33	0.80351019
nsp7-O95573	nsp7	O95573	ACSL3	1	0	4.33	0.897068932
nsp7-P00387	nsp7	P00387	CYB5R3	1	0	7.33	0.956349351
nsp7-P11233	nsp7	P11233	RALA	0.97	0	2.33	0.750366485
nsp7-P21964	nsp7	P21964	COMT	0.66	0.04	2	0.745231765
nsp7-P51148	nsp7	P51148	RAB5C	1	0	8	0.87908593
nsp7-P51149	nsp7	P51149	RAB7A	1	0	10.67	0.972724229
nsp7-P61006	nsp7	P61006	RAB8A	0.65	0.05	2.33	0.895744596
nsp7-P61019	nsp7	P61019	RAB2A	0.65	0.05	2	0.97919572
nsp7-P61026	nsp7	P61026	RAB10	0.98	0	3	0.981443071
nsp7-P61106	nsp7	P61106	RAB14	1	0	6.67	0.750712826
nsp7-P61586	nsp7	P61586	RHOA	0.65	0.05	2	0.829029399
nsp7-P62820	nsp7	P62820	RAB1A	0.99	0	4	0.935289593
nsp7-P62873	nsp7	P62873	GNB1	0.98	0	2.67	0.839532136
nsp7-P63218	nsp7	P63218	GNG5	0.65	0.05	2	0.817631566
nsp7-Q12907	nsp7	Q12907	LMAN2	1	0	7	0.725773983
nsp7-Q13724	nsp7	Q13724	MOGS	1	0	27.67	0.782330987
nsp7-Q5JTV8	nsp7	Q5JTV8	TOR1AIP1	0.65	0.05	2	0.74516805
nsp7-Q5VT66	nsp7	Q5VT66	MARC1	1	0	6.33	0.939721024
nsp7-Q6ZRP7	nsp7	Q6ZRP7	QSOX2	0.67	0.03	4.33	0.794325146
nsp7-Q7LGA3	nsp7	Q7LGA3	HS2ST1	1	0	5	0.706466834
nsp7-Q8N183	nsp7	Q8N183	NDUFAF2	0.98	0	3	0.981444858
nsp7-Q8NBX0	nsp7	Q8NBX0	SCCPDH	0.97	0	2.33	0.978675119
nsp7-Q8WTV0	nsp7	Q8WTV0	SCARB1	0.66	0.03	2.67	0.854406247
nsp7-Q8WUY8	nsp7	Q8WUY8	NAT14	1	0	4.33	0.720285746
nsp7-Q8WVC6	nsp7	Q8WVC6	DCAKD	1	0	9	0.862452335
nsp7-Q96A26	nsp7	Q96A26	FAM162A	1	0	11	0.748773582
nsp7-Q96DA6	nsp7	Q96DA6	DNAJC19	0.98	0	3	0.981450126
nsp7-Q9BQE4	nsp7	Q9BQE4	SELENOS	1	0	3.33	0.701764404
nsp7-Q9H7Z7	nsp7	Q9H7Z7	PTGES2	0.99	0	6	0.764538331
nsp7-Q9NP72	nsp7	Q9NP72	RAB18	0.65	0.05	2	0.756605088
nsp8-O00566	nsp8	O00566	MPHOSPH10	0.66	0.03	2.67	0.728559172
nsp8-O76094	nsp8	O76094	SRP72	1	0	33.67	0.739540656
nsp8-O95260	nsp8	O95260	ATE1	1	0	8.33	0.804292637
nsp8-O96028	nsp8	O96028	NSD2	0.65	0.05	2	0.864651959
nsp8-P09132	nsp8	P09132	SRP19	1	0	12	0.832502372
nsp8-P61011	nsp8	P61011	SRP54	0.99	0	4	0.755584148
nsp8-P82663	nsp8	P82663	MRPS25	1	0	4.67	0.826437119
nsp8-Q13206	nsp8	Q13206	DDX10	1	0	5.67	0.755753594
nsp8-Q4G0J3	nsp8	Q4G0J3	LARP7	1	0	12.67	0.812479682
nsp8-Q7L2J0	nsp8	Q7L2J0	MEPCE	1	0	10.33	0.790978117
nsp8-Q8NEJ9	nsp8	Q8NEJ9	NGDN	1	0	3.67	0.71407894
nsp8-Q96B26	nsp8	Q96B26	EXOSC8	1	0	3.67	0.990898225
nsp8-Q96I59	nsp8	Q96I59	NARS2	1	0	5.33	0.78185035
nsp8-Q9BSC4	nsp8	Q9BSC4	NOL10	1	0	8.33	0.807819511
nsp8-Q9H6F5	nsp8	Q9H6F5	CCDC86	1	0	4.33	0.736803661
nsp8-Q9HD40	nsp8	Q9HD40	SEPSECS	1	0	4.33	0.809559247
nsp8-Q9NQT4	nsp8	Q9NQT4	EXOSC5	0.99	0	3.67	0.704291901
nsp8-Q9NQT5	nsp8	Q9NQT5	EXOSC3	1	0	6.33	0.774797319
nsp8-Q9NY61	nsp8	Q9NY61	AATF	1	0	11.67	0.783703681
nsp8-Q9ULT8	nsp8	Q9ULT8	HECTD1	1	0	5.33	0.885504785
nsp8-Q9Y399	nsp8	Q9Y399	MRPS2	0.65	0.05	2	0.972057569
nsp8-P82675	nsp8	P82675	MRPS5	0.66	0.04	2.33	0.63637328
nsp8-Q13868	nsp8	Q13868	EXOSC2	1	0	5.67	0.672587659
nsp8-Q92552	nsp8	Q92552	MRPS27	1	0	3.33	0.602806863
nsp9-P13984	nsp9	P13984	GTF2F2	1	0	14	0.877426938
nsp9-P35555	nsp9	P35555	FBN1	1	0	15.33	0.992372395
nsp9-P35556	nsp9	P35556	FBN2	1	0	83	0.991012329
nsp9-P35658	nsp9	P35658	NUP214	1	0	8.33	0.962233264
nsp9-P37198	nsp9	P37198	NUP62	1	0	18	0.993010451
nsp9-P61962	nsp9	P61962	DCAF7	1	0	16	0.969234024
nsp9-Q15056	nsp9	Q15056	EIF4H	1	0	6	0.86901939
nsp9-Q7Z3B4	nsp9	Q7Z3B4	NUP54	1	0	21.33	0.991624822
nsp9-Q86YT6	nsp9	Q86YT6	MIB1	1	0	15	0.89782233
nsp9-Q8N0X7	nsp9	Q8N0X7	SPART	1	0	13.67	0.962964129
nsp9-Q8TD19	nsp9	Q8TD19	NEK9	1	0	39	0.991972865
nsp9-Q96F45	nsp9	Q96F45	ZNF503	1	0	34	0.777581447
nsp9-Q99567	nsp9	Q99567	NUP88	0.99	0	3.67	0.92724312
nsp9-Q9BVL2	nsp9	Q9BVL2	NUP58	1	0	12	0.979586223
nsp9-Q9NZL9	nsp9	Q9NZL9	MAT2B	1	0	4.33	0.978282655
nsp9-Q9UBX5	nsp9	Q9UBX5	FBLN5	0.96	0.01	2	0.992002193
orf10-P50897	orf10	P50897	PPT1	1	0	6	0.777920681
orf10-Q13617	orf10	Q13617	CUL2	1	0	12.33	0.818290141
orf10-Q3KQU3	orf10	Q3KQU3	MAP7D1	1	0	7.67	0.814143575
orf10-Q9BU02	orf10	Q9BU02	THTPA	0.98	0	2.67	0.927363101
orf10-Q9C0D3	orf10	Q9C0D3	ZYG11B	1	0	27	0.85402934
orf10-Q9Y5J9	orf10	Q9Y5J9	TIMM8B	0.97	0	2.33	0.752997484
orf10-P62877	orf10	P62877	RBX1	0.65	0.05	2	0.63921796
orf10-Q15369	orf10	Q15369	ELOC	1	0	7.33	0.618948613
orf10-Q15370	orf10	Q15370	ELOB	0.99	0	4	0.655233005
orf3a-P09601	orf3a	P09601	HMOX1	1	0	12.33	0.993596312
orf3a-Q8IWR1	orf3a	Q8IWR1	TRIM59	0.99	0	3.67	0.979280399
orf3a-Q8N6S5	orf3a	Q8N6S5	ARL6IP6	1	0	4.67	0.865135022
orf3a-Q96JC1	orf3a	Q96JC1	VPS39	1	0	13.33	0.878755935
orf3a-Q96S66	orf3a	Q96S66	CLCC1	1	0	20.33	0.920620901
orf3a-Q9H270	orf3a	Q9H270	VPS11	0.99	0	4.33	0.967855711
orf3a-Q9UH99	orf3a	Q9UH99	SUN2	1	0	11	0.880019941
orf3a-Q9Y673	orf3a	Q9Y673	ALG5	1	0	8	0.860324884
orf3b-Q9UJZ1	orf3b	Q9UJZ1	STOML2	1	0	8	0.929039041
orf6-P52948	orf6	P52948	NUP98	1	0	8	0.903566335
orf6-P78406	orf6	P78406	RAE1	1	0	20.33	0.963218346
orf6-Q9NZJ7	orf6	Q9NZJ7	MTCH1	0.65	0.05	2	0.851173737
orf7a-Q7Z4Q2	orf7a	Q7Z4Q2	HEATR3	1	0	3.67	0.789988379
orf7a-Q9NU22	orf7a	Q9NU22	MDN1	1	0	7.67	0.981108579
orf8-O00469	orf8	O00469	PLOD2	1	0	13.67	0.992483418
orf8-O14656	orf8	O14656	TOR1A	0.66	0.04	2	0.879789245
orf8-O76061	orf8	O76061	STC2	1	0	4.67	0.979920785
orf8-P00750	orf8	P00750	PLAT	0.65	0.05	2	0.973718932
orf8-P05556	orf8	P05556	ITGB1	0.66	0.04	2.33	0.817711683
orf8-P0C7P0	orf8	P0C7P0	CISD3	0.99	0	4	0.760326153
orf8-P12109	orf8	P12109	COL6A1	0.65	0.05	2	0.977300006
orf8-P15151	orf8	P15151	PVR	1	0	4	0.991893926
orf8-P26358	orf8	P26358	DNMT1	1	0	8	0.795844505
orf8-P28300	orf8	P28300	LOX	0.98	0	2.67	0.985331119
orf8-P29122	orf8	P29122	PCSK6	0.99	0	3.67	0.721790867
orf8-P58166	orf8	P58166	INHBE	1	0	6	0.993645979
orf8-P61916	orf8	P61916	NPC2	0.99	0	3.67	0.978204196
orf8-Q08431	orf8	Q08431	MFGE8	0.98	0	2.67	0.743312102
orf8-Q13438	orf8	Q13438	OS9	1	0	3.33	0.931530938
orf8-Q15818	orf8	Q15818	NPTX1	0.97	0	2.67	0.984056824
orf8-Q6UW63	orf8	Q6UW63	POGLUT2	0.66	0.03	3	0.95793072
orf8-Q7Z4H8	orf8	Q7Z4H8	POGLUT3	1	0	4.33	0.932470503
orf8-Q86YB8	orf8	Q86YB8	ERO1B	1	0	4	0.991893438
orf8-Q8IV08	orf8	Q8IV08	PLD3	0.99	0	3	0.722502016
orf8-Q8IWF2	orf8	Q8IWF2	FOXRED2	0.65	0.05	2	0.977300463
orf8-Q8IZ52	orf8	Q8IZ52	CHPF	1	0	5.67	0.989068101
orf8-Q8N0Z8	orf8	Q8N0Z8	PUSL1	0.98	0	3	0.72751463
orf8-Q8N766	orf8	Q8N766	EMC1	0.99	0	3	0.723777507
orf8-Q92820	orf8	Q92820	GGH	1	0	4	0.877155555
orf8-Q96DZ1	orf8	Q96DZ1	ERLEC1	1	0	11	0.732723909
orf8-Q96F46	orf8	Q96F46	IL17RA	0.97	0	2.33	0.80084048
orf8-Q96IV0	orf8	Q96IV0	NGLY1	1	0	3.67	0.993220351
orf8-Q96MM7	orf8	Q96MM7	HS6ST2	0.65	0.05	2.33	0.806104461
orf8-Q99470	orf8	Q99470	SDF2	0.99	0	4.67	0.826107348
orf8-Q99519	orf8	Q99519	NEU1	1	0	4.33	0.991561179
orf8-Q99988	orf8	Q99988	GDF15	1	0	5	0.985884183
